table_idx,fold
0,4
1,0
2,3
3,4
4,0
5,3
6,0
7,2
8,0
9,2
10,4
11,2
12,4
13,4
14,4
15,2
16,3
17,3
18,0
19,4
20,3
21,1
22,2
23,0
24,2
25,1
26,3
27,2
28,0
29,4
30,1
31,2
32,1
33,3
34,3
35,1
36,2
37,1
38,2
39,2
40,4
41,0
42,1
43,4
44,0
45,1
46,2
47,4
48,2
49,4
50,1
51,0
52,3
53,2
54,1
55,2
56,0
57,3
58,4
59,3
60,1
61,2
62,3
63,3
64,0
65,1
66,1
67,1
68,2
69,1
70,3
71,4
72,2
73,2
74,3
75,0
76,2
77,1
78,2
79,1
80,3
81,2
82,0
83,4
84,3
85,4
86,2
87,3
88,4
89,0
90,3
91,4
92,2
93,3
94,1
95,0
96,2
97,3
98,1
99,3
100,3
101,0
102,1
103,2
104,4
105,0
106,3
107,2
108,2
109,4
110,1
111,1
112,4
113,2
114,3
115,3
116,0
117,2
118,4
119,2
120,3
121,4
122,2
123,0
124,1
125,3
126,1
127,1
128,3
129,3
130,1
131,0
132,2
133,1
134,3
135,3
136,4
137,0
138,2
139,3
140,3
141,0
142,0
143,3
144,3
145,2
146,0
147,3
148,0
149,0
150,4
151,1
152,1
153,1
154,2
155,2
156,1
157,2
158,2
159,4
160,1
161,3
162,3
163,4
164,4
165,4
166,4
167,4
168,0
169,0
170,4
171,4
172,0
173,3
174,1
175,2
176,2
177,4
178,1
179,4
180,0
181,1
182,3
183,0
184,3
185,2
186,1
187,0
188,3
189,0
190,1
191,0
192,4
193,4
194,1
195,2
196,3
197,1
198,0
199,4
200,0
201,1
202,2
203,2
204,2
205,0
206,2
207,1
208,0
209,2
210,4
211,3
212,3
213,0
214,0
215,1
216,0
217,2
218,2
219,2
220,2
221,4
222,4
223,4
224,0
225,2
226,4
227,0
228,2
229,1
230,1
231,2
232,4
233,3
234,4
235,4
236,2
237,3
238,1
239,3
240,0
241,2
242,1
243,1
244,0
245,1
246,3
247,0
248,4
249,4
250,0
251,4
252,0
253,3
254,0
255,1
256,3
257,2
258,1
259,3
260,1
261,2
262,3
263,0
264,4
265,0
266,4
267,2
268,1
269,0
270,3
271,4
272,1
273,0
274,0
275,3
276,3
277,3
278,1
279,4
280,0
281,3
282,2
283,3
284,0
285,3
286,4
287,2
288,1
289,1
290,1
291,2
292,1
293,1
294,4
295,2
296,4
297,0
298,0
299,3
300,4
301,1
302,0
303,1
304,3
305,3
306,4
307,3
308,1
309,1
310,2
311,3
312,1
313,3
314,0
315,0
316,3
317,2
318,0
319,0
320,0
321,1
322,4
323,4
324,2
325,1
326,3
327,2
328,4
329,0
330,3
331,2
332,3
333,2
334,4
335,4
336,3
337,4
338,0
339,3
340,0
341,1
342,0
343,2
344,1
345,3
346,1
347,4
348,1
349,2
350,3
351,4
352,1
353,2
354,0
355,0
356,0
357,0
358,4
359,0
360,1
361,4
362,2
363,2
364,4
365,3
366,1
367,1
368,1
369,3
370,0
371,1
372,0
373,0
374,2
375,4
376,2
377,1
378,4
379,2
380,4
381,4
382,3
383,2
384,1
385,4
386,0
387,1
388,4
389,4
390,2
391,4
392,4
393,4
394,0
395,3
396,0
397,1
398,3
399,4
