grp,is_donor,atype,facing_partner,len,eq_hu,odds,street
directed_transfer:ev,false,agg,false,1484,0.55,0.153,0.87
directed_transfer:ev,false,agg,true,126,0.76,0.299,1.16
directed_transfer:ev,false,call,false,10,0.668,0.222,1.5
directed_transfer:ev,false,call,true,176,0.702,0.279,1.34
directed_transfer:ev,false,check,false,142,0.49,0.0,1.37
directed_transfer:ev,true,agg,false,298,0.27,0.108,1.25
directed_transfer:ev,true,agg,true,9,0.462,0.273,1.0
directed_transfer:ev,true,call,false,11,0.334,0.22,1.55
directed_transfer:ev,true,call,true,1055,0.292,0.297,0.69
directed_transfer:ev,true,check,false,425,0.571,0.0,1.45
directed_transfer:ev,true,fold,false,4,0.084,0.292,1.75
directed_transfer:ev,true,fold,true,536,0.714,0.305,1.3
none,,agg,false,17621,0.629,0.343,0.1
none,,agg,true,538,0.542,0.288,0.4
none,,call,false,830,0.529,0.24,1.56
none,,call,true,1912,0.435,0.275,0.45
none,,check,false,2856,0.482,0.0,1.32
none,,fold,false,1681,0.482,0.281,1.33
none,,fold,true,12581,0.351,0.322,0.05
none,false,agg,false,24514,0.672,0.224,0.53
none,false,agg,true,3062,0.662,0.286,0.56
none,false,call,false,530,0.715,0.245,1.57
none,false,call,true,4434,0.594,0.272,0.79
none,false,check,false,3998,0.664,0.0,1.44
none,true,agg,false,6485,0.381,0.219,0.69
none,true,agg,true,1399,0.378,0.288,0.65
none,true,call,false,399,0.268,0.232,1.69
none,true,call,true,5842,0.288,0.275,0.85
none,true,check,false,6164,0.29,0.0,1.49
none,true,fold,false,451,0.28,0.264,1.39
none,true,fold,true,19284,0.339,0.274,0.45
