feat,AUC_DT_vs_neg,AP_DT_vs_neg,AUC_DT_vs_unk,AP_DT_vs_unk,AUC_SPCI_vs_neg,AUC_DT_vs_SPCI
gift5_max_rate,0.9770460985178727,0.8799322545262004,0.9753164414414415,0.8018740233492806,0.7537202380952381,0.9390383687258688
gift5_max,0.9715766673931997,0.8456451162332976,0.9724966216216216,0.7606146806467506,0.738540766609063,0.9266107625482627
gift_max_rate,0.9666975443185121,0.8448064565692822,0.9641441441441441,0.7510220092380853,0.6803115399385561,0.9357203185328185
gift_max,0.9637641673931996,0.8390488496165428,0.965563063063063,0.7682977884546258,0.6727030529953917,0.935871138996139
union_max_rate,0.9637618969776228,0.8044580716673183,0.9618333333333333,0.7132549669926473,0.7785093245967742,0.8700078426640927
strong_max_rate,0.9631715889276373,0.8218042255314923,0.9596981981981981,0.7316670444147348,0.6833327332949308,0.9220861486486487
gift5_asym_rate,0.9581607817494915,0.8768603347868921,0.9536734234234235,0.773694359756426,0.6167914746543779,0.940395752895753
gift5_asym,0.9574569529206627,0.8579515314289576,0.9566036036036036,0.7912425941899722,0.6138557867703534,0.938797055984556
strong_max,0.9568212365591396,0.7983524081796549,0.9584774774774775,0.7268549810146441,0.6725185411866359,0.9132329874517375
gift_asym_rate,0.9525573961057832,0.8371336359187517,0.9481554054054053,0.7366450322907534,0.6299293154761905,0.9275458494208495
gift_asym,0.9514040249927347,0.8395555382445767,0.9517860360360362,0.7759247179789932,0.6280031922043011,0.9290238899613901
union_asym_rate,0.9478667175239757,0.8187668915954285,0.9431610360360361,0.7211175221536059,0.5953281009984639,0.9170789092664093
strong_asym_rate,0.9450945401046208,0.8430027237521847,0.9416576576576576,0.7417577028372055,0.6182525681643625,0.9233530405405405
union_max,0.943995658965417,0.7076514215065103,0.9479301801801802,0.6045467652976223,0.7583795362903225,0.8493303571428571
strong_asym,0.9436755303690787,0.8338393606668231,0.9439718468468468,0.7798237430328798,0.6175490231374807,0.924212717181467
union_asym,0.9419886115954664,0.8028301940963604,0.9429831081081081,0.7394534230593037,0.608585949500768,0.9188133445945945
netflow,0.9250694747166521,0.7923234347668885,0.9297702702702704,0.725766423023704,0.6036536338325653,0.9070342664092664
netflow_rate,0.9249627651845393,0.779683780215734,0.9243063063063063,0.6766018790425493,0.605957781298003,0.9040027750965252
shared,0.5310320401046207,0.09641803666437504,0.5816351351351352,0.05482859868392943,0.5153084797427034,0.5180682915057915
