sig,coordinated_isolation:ev,coordinated_isolation:nonev,directed_transfer:ev,directed_transfer:nonev,none,soft_play:ev,soft_play:nonev,unknown
SIG_flow,0.4391,0.2134,1.0,0.1893,0.1565,0.837,0.1895,0.1575
SIG_flow_last2,0.2304,0.1048,0.7876,0.0983,0.0649,0.5744,0.0658,0.0653
SIG_fold_vs_partner,0.4065,0.1651,0.7393,0.1014,0.108,0.4747,0.0877,0.1085
SIG_fold_best50,0.1522,0.0465,0.611,0.031,0.0202,0.3307,0.0157,0.02
SIG_fold_best50_post,0.0283,0.0109,0.5448,0.0195,0.0073,0.2959,0.011,0.0073
SIG_fold_best70_post,0.0217,0.0079,0.4621,0.0147,0.0054,0.2627,0.008,0.0057
SIG_call_vs_partner,0.0652,0.0317,0.8331,0.0721,0.0237,0.3339,0.022,0.0252
SIG_call_weak25,0.0087,0.0119,0.3172,0.0422,0.0111,0.1203,0.0099,0.0118
SIG_call_below_odds,0.0152,0.015,0.4455,0.0479,0.0129,0.1503,0.0106,0.0137
SIG_call_weak15_turnriver,0.0043,0.007,0.1697,0.0275,0.0059,0.0649,0.0047,0.0059
SIG_bluff_into_partner30,0.0826,0.0279,0.1903,0.0308,0.013,0.1994,0.0152,0.0133
SIG_union,0.237,0.0791,0.8966,0.0825,0.0391,0.6139,0.0377,0.0396
SIG_anyconf,0.4239,0.1814,1.0,0.1498,0.119,0.8006,0.1108,0.1197
SIG_strong,0.0261,0.0149,0.6234,0.0422,0.0114,0.3275,0.0127,0.0117
SIG_gift5,0.1174,0.0409,0.7903,0.0665,0.0185,0.3797,0.0184,0.019
