event,flag,NEG,DT,SP,CI,HID,NEG_null,CX_dev,CX_dev_null,CX_dev_negexp,CX_w1,CX_w1_null,CX_evph,EX_eval,EX_eval_null,EX_devph,all_both,both_exp,xs_dev,xs_eval,pos_recall
pf_vol,dirtop_G6,2,33,48,15,24,3,108,221,99.0,101,208,95,74,211,109,0,0.4,-113.0,-137,0.25
pf_vol,dirtop_G10,0,10,21,3,7,0,8,11,0.0,7,16,6,6,16,5,0,0.0,-3.0,-10,0.086
pf_vol,dirtop_G16,0,2,5,0,1,0,0,0,0.0,1,1,0,0,0,1,0,0.0,0.0,0,0.017
pf_vol,dirtop_G25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.003
pf_vol,symtop_G3,0,8,14,3,7,0,5,12,0.0,7,8,7,7,9,4,0,0.0,-7.0,-2,0.064
pf_vol,symtop_G6,0,2,7,0,4,0,0,1,0.0,0,0,0,1,0,0,0,0.0,-1.0,1,0.022
pf_vol,symtop_G10,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.003
pf_vol,gmax_16,0,2,5,0,1,0,0,0,0.0,1,1,0,0,0,1,0,0.0,0.0,0,0.017
pf_vol,gmax_25,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.003
pf_vol,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_vol,deficit_10,2,0,0,0,0,1,26,68,99.0,43,78,49,40,85,50,0,0.1,-73.0,-45,0.0
pf_vol,deficit_16,0,0,0,0,0,0,1,1,0.0,1,0,2,2,2,1,0,0.0,0.0,0,0.0
pf_vol,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_raise,dirtop_G6,5,37,0,40,20,12,234,421,247.5,216,412,197,170,390,261,0,2.0,-187.0,-220,0.228
pf_raise,dirtop_G10,1,18,0,18,12,0,15,44,49.5,18,45,12,13,41,16,0,0.0,-34.5,-28,0.106
pf_raise,dirtop_G16,0,5,0,4,4,0,0,0,0.0,0,2,0,0,2,0,0,0.0,0.0,-2,0.026
pf_raise,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_raise,symtop_G3,0,2,0,23,7,1,3,22,0.0,6,22,4,4,12,7,0,0.0,-19.0,-8,0.088
pf_raise,symtop_G6,0,0,0,9,4,0,0,1,0.0,1,1,0,0,0,0,0,0.0,-1.0,0,0.033
pf_raise,symtop_G10,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_raise,gmax_16,0,6,0,4,4,0,0,0,0.0,0,2,0,0,2,0,0,0.0,0.0,-2,0.028
pf_raise,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_raise,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_raise,deficit_10,4,0,8,0,1,1,64,120,198.0,86,164,84,65,172,90,1,0.2,-134.0,-107,0.02
pf_raise,deficit_16,0,0,0,0,1,0,1,7,0.0,1,4,3,1,12,3,0,0.0,-6.0,-11,0.0
pf_raise,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_allin,dirtop_G6,10,4,0,2,1,22,315,1190,495.0,387,1250,367,371,1573,450,4,4.6,-875.0,-1202,0.016
pf_allin,dirtop_G10,3,1,0,0,1,3,39,303,148.5,85,382,77,82,434,86,0,0.2,-264.0,-352,0.002
pf_allin,dirtop_G16,0,0,0,0,1,0,6,33,0.0,12,86,10,19,82,9,0,0.0,-27.0,-63,0.0
pf_allin,dirtop_G25,0,0,0,0,0,0,0,4,0.0,0,10,1,6,11,0,0,0.0,-4.0,-5,0.0
pf_allin,symtop_G3,0,3,0,0,1,2,40,42,0.0,42,43,56,51,46,61,0,0.1,-2.0,5,0.007
pf_allin,symtop_G6,0,0,0,0,1,0,2,3,0.0,3,6,1,1,8,6,0,0.0,-1.0,-7,0.0
pf_allin,symtop_G10,0,0,0,0,0,0,1,0,0.0,1,0,0,1,0,0,0,0.0,1.0,1,0.0
pf_allin,gmax_16,0,0,0,0,1,0,6,34,0.0,12,90,10,20,91,9,0,0.0,-28.0,-71,0.0
pf_allin,gmax_25,0,0,0,0,0,0,0,4,0.0,0,10,1,6,11,0,0,0.0,-4.0,-5,0.0
pf_allin,gmax_40,0,0,0,0,0,0,0,2,0.0,0,1,0,0,0,0,0,0.0,-2.0,0,0.0
pf_allin,deficit_10,0,0,0,0,0,0,0,0,0.0,0,1,0,0,4,0,0,0.0,0.0,-4,0.0
pf_allin,deficit_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_allin,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,dirtop_G6,0,0,0,0,0,0,0,2,0.0,0,0,0,2,1,0,0,0.0,-2.0,1,0.0
inf_fold_Ystrong,dirtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,symtop_G3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Ystrong,deficit_10,0,0,2,0,0,0,10,8,0.0,5,7,5,9,16,6,0,0.0,2.0,-7,0.005
inf_fold_Ystrong,deficit_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0.0,0.0,-1,0.0
inf_fold_Ystrong,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,dirtop_G6,0,0,0,0,0,0,7,8,0.0,4,9,2,5,10,3,0,0.0,-1.0,-5,0.0
inf_fold_Yweak,dirtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,symtop_G3,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0.0,0.0,1,0.0
inf_fold_Yweak,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_fold_Yweak,deficit_10,0,4,2,0,3,0,8,6,0.0,5,16,10,12,13,6,0,0.0,2.0,-1,0.014
inf_fold_Yweak,deficit_16,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0.0,0.0,-1,0.0
inf_fold_Yweak,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,dirtop_G6,5,1,0,3,3,8,421,395,247.5,357,351,320,493,458,382,4,3.2,26.0,35,0.013
inf_raise_Ystrong,dirtop_G10,0,0,0,1,0,2,25,27,0.0,28,21,19,40,29,19,0,0.0,-2.0,11,0.004
inf_raise_Ystrong,dirtop_G16,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,symtop_G3,0,0,0,0,0,2,36,30,0.0,22,30,23,38,34,21,0,0.0,6.0,4,0.0
inf_raise_Ystrong,symtop_G6,0,0,0,0,0,0,1,0,0.0,0,1,0,0,0,0,0,0.0,1.0,0,0.0
inf_raise_Ystrong,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,gmax_16,0,0,0,0,0,0,1,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Ystrong,deficit_10,2,0,0,0,0,0,19,32,99.0,8,7,16,24,11,11,0,0.0,-80.0,13,0.0
inf_raise_Ystrong,deficit_16,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,1.0,0,0.0
inf_raise_Ystrong,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Yweak,dirtop_G6,9,73,0,23,20,9,396,429,445.5,367,399,312,454,454,371,4,4.1,-49.5,0,0.248
inf_raise_Yweak,dirtop_G10,1,47,0,4,10,1,26,42,49.5,20,32,16,30,42,24,0,0.0,-23.5,-12,0.12
inf_raise_Yweak,dirtop_G16,0,10,0,0,3,0,0,0,0.0,1,0,1,0,0,1,0,0.0,0.0,0,0.023
inf_raise_Yweak,dirtop_G25,0,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.011
inf_raise_Yweak,symtop_G3,0,3,0,8,4,1,13,30,0.0,24,26,17,14,20,23,0,0.0,-17.0,-6,0.036
inf_raise_Yweak,symtop_G6,0,2,0,1,1,1,0,0,0.0,1,0,0,0,1,2,0,0.0,0.0,-1,0.008
inf_raise_Yweak,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Yweak,gmax_16,0,10,0,0,3,0,0,0,0.0,1,0,1,0,0,1,0,0.0,0.0,0,0.023
inf_raise_Yweak,gmax_25,0,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.011
inf_raise_Yweak,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
inf_raise_Yweak,deficit_10,4,0,7,0,1,0,146,203,198.0,110,110,91,160,193,114,2,0.3,-57.0,-33,0.018
inf_raise_Yweak,deficit_16,0,0,2,0,0,0,3,5,0.0,2,0,0,2,3,3,0,0.0,-2.0,-1,0.005
inf_raise_Yweak,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,dirtop_G6,0,0,0,0,0,0,8,8,0.0,2,4,2,4,12,2,0,0.0,0.0,-8,0.0
bhp_fold_Ybetter,dirtop_G10,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,symtop_G3,0,0,0,0,0,0,1,1,0.0,0,1,0,0,1,0,0,0.0,0.0,-1,0.0
bhp_fold_Ybetter,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,deficit_10,0,0,0,0,0,0,9,6,0.0,2,2,2,4,3,4,0,0.0,3.0,1,0.0
bhp_fold_Ybetter,deficit_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Ybetter,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,dirtop_G6,1,0,0,0,0,3,68,98,49.5,53,102,51,81,121,55,0,0.1,-30.0,-40,0.0
bhp_fold_Yworse,dirtop_G10,0,0,0,0,0,0,1,3,0.0,2,6,1,2,7,1,0,0.0,-2.0,-5,0.0
bhp_fold_Yworse,dirtop_G16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,dirtop_G25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,symtop_G3,0,0,0,0,0,0,4,6,0.0,6,8,4,1,3,7,0,0.0,-2.0,-2,0.0
bhp_fold_Yworse,symtop_G6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,gmax_16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,gmax_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,gmax_40,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
bhp_fold_Yworse,deficit_10,0,2,13,0,3,1,39,67,0.0,26,58,25,44,89,33,0,0.0,-28.0,-45,0.037
bhp_fold_Yworse,deficit_16,0,0,0,0,0,0,0,0,0.0,1,3,0,1,2,2,0,0.0,0.0,-1,0.0
bhp_fold_Yworse,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_enter_afterY,dirtop_G6,6,65,19,6,19,4,196,209,297.0,156,166,146,197,232,170,1,1.0,-101.0,-35,0.216
pf_enter_afterY,dirtop_G10,0,47,2,1,12,0,13,12,0.0,12,12,4,10,14,10,0,0.0,1.0,-4,0.115
pf_enter_afterY,dirtop_G16,0,24,0,0,6,0,1,0,0.0,0,0,0,0,1,0,0,0.0,1.0,-1,0.054
pf_enter_afterY,dirtop_G25,0,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.009
pf_enter_afterY,symtop_G3,0,3,6,2,1,0,11,15,0.0,5,14,9,10,12,3,0,0.0,-4.0,-2,0.029
pf_enter_afterY,symtop_G6,0,1,1,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0.0,0.0,1,0.005
pf_enter_afterY,symtop_G10,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_enter_afterY,gmax_16,0,25,0,0,7,0,1,0,0.0,0,0,0,0,1,0,0,0.0,1.0,-1,0.056
pf_enter_afterY,gmax_25,0,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.009
pf_enter_afterY,gmax_40,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.002
pf_enter_afterY,deficit_10,4,0,0,0,0,1,85,89,198.0,64,60,56,85,115,51,0,0.1,-113.0,-30,0.0
pf_enter_afterY,deficit_16,1,0,0,0,0,0,1,0,49.5,2,0,0,1,2,0,0,0.0,-48.5,-1,0.0
pf_enter_afterY,deficit_25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0
pf_limpbehind,dirtop_G6,18,1,48,0,14,15,372,482,890.9,354,358,317,473,448,373,4,3.6,-518.9,25,0.123
