event,flag,grp,dev_only,eval_only,both,z_eval_excess
pf_vol,dirtop_G6,sym,42,50,0,0.83
pf_vol,dirtop_G6,tight,8,9,0,0.24
pf_vol,dirtop_G10,sym,4,4,0,0.0
pf_vol,dirtop_G10,tight,0,0,0,0.0
pf_vol,dirtop_G16,sym,1,0,0,-1.0
pf_vol,dirtop_G16,tight,0,0,0,0.0
pf_vol,dirtop_G25,sym,0,0,0,0.0
pf_vol,dirtop_G25,tight,0,0,0,0.0
pf_vol,symtop_G3,sym,2,2,0,0.0
pf_vol,symtop_G3,tight,0,0,0,0.0
pf_vol,symtop_G6,sym,0,0,0,0.0
pf_vol,symtop_G6,tight,0,0,0,0.0
pf_vol,symtop_G10,sym,0,0,0,0.0
pf_vol,symtop_G10,tight,0,0,0,0.0
pf_vol,gmax_16,sym,1,0,0,-1.0
pf_vol,gmax_16,tight,0,0,0,0.0
pf_vol,gmax_25,sym,0,0,0,0.0
pf_vol,gmax_25,tight,0,0,0,0.0
pf_vol,gmax_40,sym,0,0,0,0.0
pf_vol,gmax_40,tight,0,0,0,0.0
pf_vol,deficit_10,sym,20,27,0,1.02
pf_vol,deficit_10,tight,8,3,0,-1.51
pf_vol,deficit_16,sym,0,1,0,1.0
pf_vol,deficit_16,tight,0,0,0,0.0
pf_vol,deficit_25,sym,0,0,0,0.0
pf_vol,deficit_25,tight,0,0,0,0.0
pf_raise,dirtop_G6,sym,105,83,0,-1.6
pf_raise,dirtop_G6,tight,23,20,0,-0.46
pf_raise,dirtop_G10,sym,8,6,0,-0.53
pf_raise,dirtop_G10,tight,2,2,0,0.0
pf_raise,dirtop_G16,sym,0,0,0,0.0
pf_raise,dirtop_G16,tight,0,0,0,0.0
pf_raise,dirtop_G25,sym,0,0,0,0.0
pf_raise,dirtop_G25,tight,0,0,0,0.0
pf_raise,symtop_G3,sym,2,3,0,0.45
pf_raise,symtop_G3,tight,0,0,0,0.0
pf_raise,symtop_G6,sym,0,0,0,0.0
pf_raise,symtop_G6,tight,0,0,0,0.0
pf_raise,symtop_G10,sym,0,0,0,0.0
pf_raise,symtop_G10,tight,0,0,0,0.0
pf_raise,gmax_16,sym,0,0,0,0.0
pf_raise,gmax_16,tight,0,0,0,0.0
pf_raise,gmax_25,sym,0,0,0,0.0
pf_raise,gmax_25,tight,0,0,0,0.0
pf_raise,gmax_40,sym,0,0,0,0.0
pf_raise,gmax_40,tight,0,0,0,0.0
pf_raise,deficit_10,sym,36,34,0,-0.24
pf_raise,deficit_10,tight,8,9,0,0.24
pf_raise,deficit_16,sym,1,1,0,0.0
pf_raise,deficit_16,tight,0,0,0,0.0
pf_raise,deficit_25,sym,0,0,0,0.0
pf_raise,deficit_25,tight,0,0,0,0.0
pf_allin,dirtop_G6,sym,184,175,0,-0.48
pf_allin,dirtop_G6,tight,40,26,0,-1.72
pf_allin,dirtop_G10,sym,33,39,0,0.71
pf_allin,dirtop_G10,tight,9,6,0,-0.77
pf_allin,dirtop_G16,sym,5,8,0,0.83
pf_allin,dirtop_G16,tight,1,3,0,1.0
pf_allin,dirtop_G25,sym,0,1,0,1.0
pf_allin,dirtop_G25,tight,0,0,0,0.0
pf_allin,symtop_G3,sym,16,23,0,1.12
