g,post,facing,sb,action,share,n_ctx
NEG_non,0,none,0,bet_raise,0.0030662983425414365,36200
NEG_non,0,none,0,call,0.04243093922651934,36200
NEG_non,0,none,0,check,0.04140883977900552,36200
NEG_non,0,none,0,fold,0.9130939226519337,36200
SP_ev,0,none,0,bet_raise,0.13636363636363635,22
SP_ev,0,none,0,call,0.09090909090909091,22
SP_ev,0,none,0,check,0.7727272727272727,22
SP_non,0,none,0,bet_raise,0.0014841199168892847,3369
SP_non,0,none,0,call,0.041852181656277826,3369
SP_non,0,none,0,check,0.053725140991392105,3369
SP_non,0,none,0,fold,0.9029385574354408,3369
NEG_non,0,none,1,bet_raise,0.055805286067882445,70298
NEG_non,0,none,1,call,0.1327349284474665,70298
NEG_non,0,none,1,check,0.03496543287148994,70298
NEG_non,0,none,1,fold,0.7764943526131611,70298
SP_ev,0,none,1,bet_raise,0.21084337349397592,166
SP_ev,0,none,1,call,0.5421686746987951,166
SP_ev,0,none,1,check,0.2469879518072289,166
SP_non,0,none,1,bet_raise,0.03845537574106714,6241
SP_non,0,none,1,call,0.24435186668803077,6241
SP_non,0,none,1,check,0.043422528440954976,6241
SP_non,0,none,1,fold,0.6737702291299471,6241
NEG_non,0,none,2,bet_raise,0.28457450479674234,72445
NEG_non,0,none,2,call,0.17770722617157844,72445
NEG_non,0,none,2,check,0.02265166678169646,72445
NEG_non,0,none,2,fold,0.5150666022499828,72445
SP_ev,0,none,2,bet_raise,0.2833333333333333,360
SP_ev,0,none,2,call,0.6694444444444444,360
SP_ev,0,none,2,check,0.04722222222222222,360
SP_non,0,none,2,bet_raise,0.19638534774891075,6197
SP_non,0,none,2,call,0.45199289979022106,6197
SP_non,0,none,2,check,0.029207681136033566,6197
SP_non,0,none,2,fold,0.3224140713248346,6197
NEG_non,0,none,3,bet_raise,0.7709076009014546,24405
NEG_non,0,none,3,call,0.08514648637574268,24405
NEG_non,0,none,3,check,0.0037287441098135627,24405
NEG_non,0,none,3,fold,0.14021716861298913,24405
SP_ev,0,none,3,bet_raise,0.5,262
SP_ev,0,none,3,call,0.48854961832061067,262
SP_ev,0,none,3,check,0.011450381679389313,262
SP_non,0,none,3,bet_raise,0.4812286689419795,2051
SP_non,0,none,3,call,0.4305216967333008,2051
SP_non,0,none,3,check,0.005850804485616773,2051
SP_non,0,none,3,fold,0.08239882983910288,2051
NEG_non,0,none,4,bet_raise,0.9801151229722659,5733
NEG_non,0,none,4,call,0.007849293563579277,5733
NEG_non,0,none,4,check,0.00034885749171463456,5733
NEG_non,0,none,4,fold,0.011686725972440259,5733
SP_ev,0,none,4,bet_raise,0.4166666666666667,84
SP_ev,0,none,4,call,0.5833333333333334,84
SP_non,0,none,4,bet_raise,0.632258064516129,465
SP_non,0,none,4,call,0.35698924731182796,465
SP_non,0,none,4,fold,0.010752688172043012,465
NEG_non,0,other,0,bet_raise,0.0004970403506393747,22131
NEG_non,0,other,0,call,0.018887533324296237,22131
NEG_non,0,other,0,fold,0.9806154263250644,22131
SP_non,0,other,0,call,0.018090452261306532,1990
SP_non,0,other,0,fold,0.9819095477386934,1990
NEG_non,0,other,1,bet_raise,0.002410958904109589,45625
NEG_non,0,other,1,call,0.10996164383561643,45625
