feature,SP_vs_NEG,SP_vs_UNK,SP_vs_UNKclean,SP_vs_DT,SP_vs_CI,DT_vs_NEG,CI_vs_NEG
n,0.4985,0.596,0.601,0.4671,0.4548,0.531,0.5395
r_S_PL,0.9029,0.9011,0.8975,0.4841,0.8485,0.8982,0.5841
z_S_PL,0.903,0.9119,0.9091,0.4868,0.844,0.8993,0.5911
r_S_U1,0.9451,0.9396,0.9379,0.7185,0.8854,0.8668,0.5774
z_S_U1,0.9434,0.9473,0.9461,0.7117,0.8857,0.8676,0.58
r_S_both_see_flop,0.9531,0.9518,0.9493,0.6655,0.925,0.9097,0.5727
z_S_both_see_flop,0.9518,0.9578,0.9559,0.6601,0.9237,0.91,0.5762
r_S_llr_gt2,0.9844,0.9851,0.984,0.8874,0.9666,0.9054,0.755
z_S_llr_gt2,0.9836,0.9869,0.9861,0.878,0.9654,0.9065,0.7578
r_S_strong_check_pact,0.9825,0.9779,0.9777,0.9433,0.9776,0.7382,0.5335
z_S_strong_check_pact,0.9811,0.9804,0.9801,0.9385,0.9732,0.7391,0.5315
r_S_G1_both_enter,0.9259,0.9262,0.9242,0.6629,0.7283,0.8652,0.8235
z_S_G1_both_enter,0.9249,0.9356,0.9338,0.6644,0.728,0.8658,0.8219
top5_llr,0.9909,0.9926,0.9926,0.9233,0.9705,0.9235,0.7767
mean_llr,0.9517,0.9503,0.9492,0.8318,0.8885,0.8156,0.7459
top5_miss,0.6984,0.7519,0.7573,0.4713,0.5128,0.7281,0.6948
neg_raise_resp_rate,0.8324,0.8311,0.8281,0.8374,0.9942,0.5582,0.0669
neg_raise_p_per_both,0.9356,0.927,0.9255,0.9517,0.9998,0.553,0.0431
