feat,auc_pos_vs_unk,auc_pos_vs_neg,auc_neg_vs_unk,med_pos,med_neg,med_unk,d_pu,d_pn,d_nu
shared_hands,0.514,0.522,0.493,112.0,108.5,110.0,0.014000000000000012,0.02200000000000002,0.007000000000000006
copresence_lift,0.507,0.518,0.49,0.9134,0.9052,0.9188,0.007000000000000006,0.018000000000000016,0.010000000000000009
copresence_min,0.513,0.523,0.491,0.2176,0.2129,0.2152,0.013000000000000012,0.02300000000000002,0.009000000000000008
both_vpip_rate,0.881,0.882,0.489,0.1866,0.0725,0.0753,0.381,0.382,0.01100000000000001
both_flop_rate,0.841,0.845,0.486,0.1486,0.0433,0.046,0.34099999999999997,0.345,0.014000000000000012
sd_tog_rate,0.856,0.856,0.498,0.043,0.0092,0.0091,0.356,0.356,0.0020000000000000018
hu_final_rate,0.798,0.796,0.496,0.1064,0.0598,0.0597,0.29800000000000004,0.29600000000000004,0.0040000000000000036
hu_flop_rate,0.811,0.816,0.486,0.0714,0.0262,0.027,0.31100000000000005,0.31599999999999995,0.014000000000000012
checkdown_share_of_huflop,0.615,0.61,0.504,0.0,0.0,0.0,0.11499999999999999,0.10999999999999999,0.0040000000000000036
both_aggr_rate,0.713,0.718,0.492,0.0598,0.0306,0.0314,0.21299999999999997,0.21799999999999997,0.008000000000000007
abs_net_flow_per100,0.734,0.732,0.498,82.7694,25.2907,24.6914,0.23399999999999999,0.23199999999999998,0.0020000000000000018
abs_net_flow_hu_per100,0.707,0.71,0.494,55.8526,17.6471,17.3248,0.20699999999999996,0.20999999999999996,0.006000000000000005
gross_flow_per100,0.806,0.807,0.494,209.3677,60.0161,61.7978,0.30600000000000005,0.30700000000000005,0.006000000000000005
flow_asym,0.533,0.529,0.504,0.5088,0.4891,0.4842,0.03300000000000003,0.029000000000000026,0.0040000000000000036
seat_adjacent_rate,0.517,0.526,0.491,0.3939,0.3825,0.3862,0.017000000000000015,0.026000000000000023,0.009000000000000008
aggr_v_min_rate,0.511,0.513,0.501,0.1437,0.15,0.1481,0.01100000000000001,0.013000000000000012,0.0010000000000000009
aggr_toward_minus_others_min,0.489,0.488,0.502,-0.0707,-0.0621,-0.0618,0.01100000000000001,0.01200000000000001,0.0020000000000000018
aggr_hu_min_rate,0.473,0.482,0.493,0.1579,0.1695,0.1765,0.027000000000000024,0.018000000000000016,0.007000000000000006
aggr_hu_sum_rate,0.484,0.498,0.49,0.2632,0.2857,0.2857,0.016000000000000014,0.0020000000000000018,0.010000000000000009
