family,feat,auc_vs_neg,auc_vs_unk,d
directed_transfer,shared_hands,0.531,0.523,0.031000000000000028
directed_transfer,copresence_lift,0.505,0.494,0.0050000000000000044
directed_transfer,copresence_min,0.517,0.507,0.017000000000000015
directed_transfer,both_vpip_rate,0.883,0.882,0.383
directed_transfer,both_flop_rate,0.912,0.909,0.41200000000000003
directed_transfer,sd_tog_rate,0.94,0.941,0.43999999999999995
directed_transfer,hu_final_rate,0.87,0.872,0.37
directed_transfer,hu_flop_rate,0.924,0.923,0.42400000000000004
directed_transfer,checkdown_share_of_huflop,0.489,0.493,0.01100000000000001
directed_transfer,both_aggr_rate,0.821,0.817,0.32099999999999995
directed_transfer,abs_net_flow_per100,0.925,0.927,0.42500000000000004
directed_transfer,abs_net_flow_hu_per100,0.936,0.935,0.43600000000000005
directed_transfer,gross_flow_per100,0.961,0.961,0.46099999999999997
directed_transfer,flow_asym,0.695,0.7,0.19499999999999995
directed_transfer,seat_adjacent_rate,0.524,0.515,0.02400000000000002
directed_transfer,aggr_v_min_rate,0.555,0.556,0.05500000000000005
directed_transfer,aggr_toward_minus_others_min,0.515,0.518,0.015000000000000013
directed_transfer,aggr_hu_min_rate,0.615,0.608,0.11499999999999999
directed_transfer,aggr_hu_sum_rate,0.85,0.845,0.35
directed_transfer,fold_to_partner_max,0.103,0.105,0.397
directed_transfer,fold_post_to_partner_max,0.168,0.168,0.33199999999999996
directed_transfer,reraise_partner_rate,0.455,0.454,0.044999999999999984
directed_transfer,fold_strongpre_to_partner,0.44,0.46,0.06
directed_transfer,cojoin_rate,0.538,0.538,0.038000000000000034
directed_transfer,coleave_rate,0.539,0.532,0.039000000000000035
directed_transfer,hands__min,0.525,0.523,0.025000000000000022
directed_transfer,hands__max,0.51,0.513,0.010000000000000009
directed_transfer,hands__absdiff,0.501,0.505,0.0010000000000000009
directed_transfer,vpip_rate__min,0.575,0.58,0.07499999999999996
directed_transfer,vpip_rate__max,0.559,0.534,0.05900000000000005
directed_transfer,vpip_rate__absdiff,0.531,0.492,0.031000000000000028
directed_transfer,pfr_rate__min,0.569,0.571,0.06899999999999995
directed_transfer,pfr_rate__max,0.586,0.567,0.08599999999999997
directed_transfer,pfr_rate__absdiff,0.541,0.512,0.041000000000000036
directed_transfer,threebet_rate__min,0.571,0.558,0.07099999999999995
directed_transfer,threebet_rate__max,0.568,0.556,0.06799999999999995
directed_transfer,threebet_rate__absdiff,0.504,0.501,0.0040000000000000036
directed_transfer,af_post__min,0.364,0.364,0.136
directed_transfer,af_post__max,0.518,0.509,0.018000000000000016
directed_transfer,af_post__absdiff,0.591,0.578,0.09099999999999997
directed_transfer,afq_post__min,0.504,0.498,0.0040000000000000036
directed_transfer,afq_post__max,0.611,0.604,0.11099999999999999
directed_transfer,afq_post__absdiff,0.583,0.579,0.08299999999999996
directed_transfer,aggr_rate__min,0.574,0.571,0.07399999999999995
directed_transfer,aggr_rate__max,0.638,0.62,0.138
directed_transfer,aggr_rate__absdiff,0.578,0.553,0.07799999999999996
directed_transfer,wtsd__min,0.67,0.668,0.17000000000000004
directed_transfer,wtsd__max,0.657,0.65,0.15700000000000003
directed_transfer,wtsd__absdiff,0.482,0.473,0.018000000000000016
directed_transfer,wsd_won_rate__min,0.367,0.383,0.133
directed_transfer,wsd_won_rate__max,0.531,0.54,0.031000000000000028
directed_transfer,wsd_won_rate__absdiff,0.632,0.624,0.132
directed_transfer,bb100__min,0.313,0.319,0.187
directed_transfer,bb100__max,0.647,0.659,0.14700000000000002
directed_transfer,bb100__absdiff,0.734,0.74,0.23399999999999999
directed_transfer,fold_to_bet_post__min,0.382,0.388,0.118
directed_transfer,fold_to_bet_post__max,0.376,0.373,0.124
directed_transfer,fold_to_bet_post__absdiff,0.461,0.458,0.03899999999999998
directed_transfer,sd_freq__min,0.67,0.667,0.17000000000000004
directed_transfer,sd_freq__max,0.626,0.603,0.126
directed_transfer,sd_freq__absdiff,0.543,0.517,0.04300000000000004
directed_transfer,limp_rate__min,0.463,0.466,0.03699999999999998
directed_transfer,limp_rate__max,0.503,0.48,0.0030000000000000027
directed_transfer,limp_rate__absdiff,0.515,0.483,0.015000000000000013
directed_transfer,allin_rate__min,0.713,0.708,0.21299999999999997
directed_transfer,allin_rate__max,0.689,0.669,0.18899999999999995
directed_transfer,allin_rate__absdiff,0.574,0.552,0.07399999999999995
directed_transfer,weak_vpip_rate__min,0.677,0.682,0.17700000000000005
